Date,Energy Added (kWh)
07.03.2025,0.0
08.03.2025,0.0
09.03.2025,40.26
10.03.2025,0.0
11.03.2025,0.0
12.03.2025,0.0
13.03.2025,0.0
14.03.2025,0.0
15.03.2025,0.0
16.03.2025,44.98
17.03.2025,0.0
18.03.2025,0.0
19.03.2025,0.0
20.03.2025,0.0
21.03.2025,37.02
22.03.2025,0.0
23.03.2025,0.0
24.03.2025,0.0
25.03.2025,0.0
26.03.2025,58.0
27.03.2025,244.52
28.03.2025,0.0
29.03.2025,0.0
30.03.2025,13.98
31.03.2025,47.81999999999999
01.04.2025,1.0
02.04.2025,4.32
03.04.2025,4.38
04.04.2025,4.88
05.04.2025,4.0
06.04.2025,0.0
07.04.2025,0.0
08.04.2025,0.0
09.04.2025,0.0
10.04.2025,55.22
11.04.2025,0.0
12.04.2025,0.0
13.04.2025,0.0
14.04.2025,0.0
15.04.2025,0.0
16.04.2025,16.92
17.04.2025,0.0
18.04.2025,3.9
19.04.2025,43.599999999999994
20.04.2025,0.0
21.04.2025,0.0
22.04.2025,14.24
23.04.2025,1.94
24.04.2025,38.78
25.04.2025,12.74
26.04.2025,0.0
27.04.2025,1.56
28.04.2025,10.32
29.04.2025,0.0
30.04.2025,0.0
01.05.2025,0.0
02.05.2025,0.0
03.05.2025,0.0
04.05.2025,0.0
05.05.2025,27.16
06.05.2025,0.0
07.05.2025,0.0
08.05.2025,0.0
09.05.2025,18.1
10.05.2025,0.0
11.05.2025,0.0
12.05.2025,47.24
13.05.2025,0.0
14.05.2025,0.0
15.05.2025,0.0
16.05.2025,12.42
17.05.2025,44.76
18.05.2025,0.0
19.05.2025,0.0
20.05.2025,0.0
21.05.2025,29.86
