date;temperature_2m;relative_humidity_2m;rain;snowfall;windspeed_10m
2024-06-30;24.983333333333334;68.83333333333333;0;0;16.945833333333333
2024-07-01;24.620833333333334;70.95833333333333;0;0;17.266666666666666
2024-07-02;26.441666666666666;66.75;0;0;11.5375
2024-07-03;25.320833333333336;65.375;0;0;16.208333333333332
2024-07-04;24.166666666666668;75.0;1;0;15.004166666666668
2024-07-05;22.912499999999998;77.45833333333333;1;0;8.833333333333334
2024-07-06;23.97083333333333;72.25;1;0;17.654166666666665
2024-07-07;25.375;69.79166666666667;0;0;19.25
2024-07-08;25.866666666666664;76.16666666666667;0;0;18.075
2024-07-09;27.075;75.0;0;0;19.183333333333334
2024-07-10;27.787499999999998;72.41666666666667;0;0;17.316666666666666
2024-07-11;24.912499999999998;79.875;1;0;13.924999999999999
2024-07-12;26.329166666666666;77.45833333333333;1;0;14.674999999999999
2024-07-13;26.78333333333333;78.29166666666667;0;0;14.941666666666668
2024-07-14;26.854166666666668;66.5;0;0;18.270833333333332
2024-07-15;26.90833333333333;64.54166666666667;0;0;18.066666666666666
2024-07-16;27.766666666666666;65.29166666666667;0;0;18.595833333333335
2024-07-17;28.991666666666664;68.08333333333333;1;0;15.641666666666666
2024-07-18;29.016666666666666;68.45833333333333;0;0;18.0125
2024-07-19;28.71666666666667;70.91666666666667;0;0;20.208333333333332
2024-07-20;28.445833333333336;71.25;1;0;18.870833333333334
2024-07-21;28.162499999999998;68.04166666666667;0;0;18.570833333333333
2024-07-22;28.429166666666664;63.666666666666664;0;0;15.158333333333333
2024-07-23;27.304166666666664;74.29166666666667;1;0;16.391666666666666
2024-07-24;26.558333333333334;67.45833333333333;1;0;17.770833333333332
2024-07-25;26.808333333333334;63.125;1;0;18.120833333333334
2024-07-26;23.808333333333334;73.29166666666667;1;0;16.275000000000002
2024-07-27;24.045833333333334;71.5;1;0;14.125
2024-07-28;25.754166666666666;72.0;1;0;17.6125
2024-07-29;27.020833333333332;63.416666666666664;0;0;19.9875
2024-07-30;25.695833333333336;67.125;1;0;21.166666666666668
2024-07-31;24.6375;58.333333333333336;0;0;17.504166666666666
